"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_46","Sample_47","Sample_48","Sample_49","Sample_50","Sample_51","Sample_52","Sample_53","Sample_54","Sample_55","Sample_56","Sample_57","Sample_58","Sample_59","Sample_60","Sample_61","Sample_62","Sample_63","Sample_64","Sample_65","Sample_66","Sample_67","Sample_68","Sample_69","Sample_70","Sample_71","Sample_72","Sample_73","Sample_74","Sample_75","Sample_76","Sample_77","Sample_78","Sample_79","Sample_80","Sample_81","Sample_82","Sample_83","Sample_84","Sample_85","Sample_86","Sample_87","Sample_88","Sample_89","Sample_90","Sample_91","Sample_92","Sample_93","Sample_94","Sample_95","Sample_96","Sample_97","Sample_98","Sample_99","Sample_100"
"Actinomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacteriaceae",834,1154,2392,903,0,0,67068,1345,17291,0,0,5915,0,2245,3168,8350,1004,13955,8183,0,3632,0,0,12588,0,0,0,0,24756,294,0,1724,39483,0,20849,0,1284,8387,0,1731,0,19757,5314,1637,90371,18292,7891,314,3435,0,0,17344,22447,0,72211,326,3071,47645,0,0,37596,6884,19195,5410,12866,25194,61,0,2987,0,3212,12544,4805,0,18095,22487,59759,35961,329,7610,2141,6715,35173,0,15263,16446,1006,7013,0,3863,1929,8999,3073,33814,2176,0,4376,1728,23114,6057
"Micrococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacteriaceae",0,4529,4584,3482,9100,1354,25876,0,10505,1751,9831,6998,0,9926,3152,7796,3791,8469,7901,40716,2590,0,5782,11636,8315,3237,6763,3268,23482,13538,0,4800,24236,1120,0,1884,1389,1298,0,0,1282,6107,0,4726,8692,9057,6811,3940,0,12022,1246,424,12779,0,14581,6379,21139,2120,809,19426,3224,2922,0,2923,7806,2212,4166,6673,2221,3348,3793,4593,3853,1900,11367,16772,4386,2427,11392,7462,0,12537,5388,6109,4048,38282,5125,0,4508,4106,17316,8212,248,18245,3578,51443,5925,0,0,11860
"Eggerthellaceae",3623,0,0,1333,80,157,2501,8803,0,1370,3126,382,0,2012,2376,0,650,137,1077,42677,359,138,8129,2096,0,662,0,0,53,3286,953,356,910,0,8459,0,247,0,3601,0,129,79,0,0,962,471,1771,0,3264,158,591,0,0,1581,19475,305,342,640,90,7357,0,3983,3752,112,0,0,0,3052,2955,0,0,2195,430,0,2566,9528,0,367,2810,2906,0,0,2570,1228,335,1070,0,260,0,0,1669,351,675,16268,0,3707,0,0,165,5048
"Bacteroidaceae",593603,20180,1587142,1490602,1397096,722363,1725669,1249470,1291827,1186522,843514,1529340,1151449,1374642,760882,1649348,990375,2441901,926659,1741925,1532198,2508384,552120,1903069,1051288,1208896,376501,621767,369145,638778,2550787,1475881,854975,768054,1114522,410390,1734408,928660,2194836,0,875156,1040487,3022008,1691389,688045,2356062,598234,12659,2216496,1053146,1070266,1498129,995224,1169033,706491,2398918,1864253,888004,44208,625091,457770,510970,3064421,917200,996320,404373,2664000,752321,668935,3574076,86459,2556725,329360,1050542,1508155,1860548,283230,1966873,2027732,2898309,1135414,1688146,159462,1556721,1190078,2783197,555975,190125,44169,54902,873803,1403329,1257821,1739987,434598,769978,1800439,222452,1134751,1735199
"Barnesiellaceae",0,0,80530,0,26708,15886,0,0,22354,87259,31221,0,0,15703,29727,107545,3207,2104,15656,87347,31240,61713,67347,0,55456,3668,17136,10228,14379,97380,0,53206,84701,39087,78636,12296,46402,40471,86749,0,60961,49359,0,56708,28428,1222,68324,11362,109171,19413,77807,105758,5156,62279,81350,0,3363,8423,0,39476,4781,74360,0,148202,24085,2382,103353,16407,36776,0,3146,48484,10768,29805,29240,0,22462,0,154680,100928,77576,18767,2551,66191,0,0,0,46546,14166,4917,112121,59163,43991,0,33617,120796,32586,83290,29812,15780
"Muribaculaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odoribacteraceae",29443,46,22094,28064,24835,13598,34352,0,36762,30873,31289,6249,22355,27068,28057,33102,19035,16473,24441,0,23606,0,30635,19453,18713,31581,17416,9823,12881,0,0,48971,55530,16489,15422,14617,30983,32108,28457,0,29082,8493,36957,38822,12908,1005,24413,4947,21790,32227,46784,46055,0,0,4996,16778,25561,9550,10960,35223,45,62250,0,16541,16029,13680,56804,29742,12024,0,11420,17698,19010,26268,13220,12022,22272,22212,18207,3590,49667,8264,4448,24739,5775,0,25767,24670,15974,6913,32357,30867,19363,2550,50935,21923,22152,13959,10224,6724
