"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_46","Sample_47","Sample_48","Sample_49","Sample_50","Sample_51","Sample_52","Sample_53","Sample_54","Sample_55","Sample_56","Sample_57","Sample_58","Sample_59","Sample_60","Sample_61","Sample_62","Sample_63","Sample_64","Sample_65","Sample_66","Sample_67","Sample_68","Sample_69","Sample_70","Sample_71","Sample_72","Sample_73","Sample_74","Sample_75","Sample_76","Sample_77","Sample_78","Sample_79","Sample_80","Sample_81","Sample_82","Sample_83","Sample_84","Sample_85","Sample_86","Sample_87","Sample_88","Sample_89","Sample_90","Sample_91","Sample_92","Sample_93","Sample_94","Sample_95","Sample_96","Sample_97","Sample_98","Sample_99","Sample_100"
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeriscardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",35961,17344,17291,3168,5915,0,61,1724,15263,7891,0,8387,2392,0,4376,19195,0,3435,3212,326,20849,1929,1004,17708,19757,24756,6057,314,6884,6715,1284,2141,67068,0,0,0,72211,0,8183,0,5410,1154,16446,33814,0,0,3071,1728,0,3632,59759,2245,37596,903,12588,0,834,0,2987,0,39483,0,90371,0,294,0,7013,7610,0,1006,13955,0,3073,0,12544,47645,12866,1731,1637,22487,3863,0,22447,0,8350,25194,2176,1345,0,0,18292,329,23114,0,0,4805,8999,0,35173,5314
"Rothia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,532,0,8387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella",2427,0,10505,3152,6998,5782,4166,4800,4048,6811,19426,1298,4584,0,5925,0,6763,0,3793,6379,0,17316,3791,11367,6107,23482,11860,3940,2922,12537,1389,0,25876,12022,6673,809,14581,4508,7901,1900,2923,4529,38282,18245,40716,0,21139,0,6109,2590,4386,9926,3224,3482,11636,0,0,0,2221,1884,24236,1120,8692,8315,13538,1246,0,7462,1282,5125,8469,9831,248,1354,4593,2120,7806,0,4726,16772,4106,51443,12779,9100,7796,2212,3578,0,0,3237,9057,11392,0,3348,0,3853,8212,3268,5388,0
"Enorma",0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia",0,0,0,107,0,1761,0,0,0,380,0,0,0,82,0,0,0,1218,0,0,831,0,237,653,0,53,1408,0,135,0,0,0,641,81,417,0,5837,0,548,0,0,0,0,635,3249,0,0,0,924,0,0,530,0,259,328,0,548,966,1406,0,882,0,522,0,1189,0,0,358,0,0,0,80,675,79,407,0,0,0,0,0,0,1679,0,0,0,0,0,2010,953,166,0,1750,108,0,0,0,0,0,1730,0
"Asaccharobacter",367,0,0,0,0,6179,0,356,335,1391,0,0,0,1499,0,0,0,1726,0,305,1016,0,413,1913,79,0,1316,0,1201,0,0,0,691,77,548,0,3341,0,529,0,112,0,773,3165,7443,1043,342,0,304,359,0,890,0,1074,1102,138,1667,878,1549,0,28,0,440,0,2097,591,260,1581,129,0,137,110,0,78,1788,640,0,0,0,0,0,2028,0,80,0,0,0,6793,0,496,0,451,57,0,0,430,351,0,304,0
"Eggerthella",0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,3577,0,320,0,0,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10257,15313,327,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,9073,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0
