"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_46","Sample_47","Sample_48","Sample_49","Sample_50","Sample_51","Sample_52","Sample_53","Sample_54","Sample_55","Sample_56","Sample_57","Sample_58","Sample_59","Sample_60","Sample_61","Sample_62","Sample_63","Sample_64","Sample_65","Sample_66","Sample_67","Sample_68","Sample_69","Sample_70","Sample_71","Sample_72","Sample_73","Sample_74","Sample_75","Sample_76","Sample_77","Sample_78","Sample_79","Sample_80","Sample_81","Sample_82","Sample_83","Sample_84","Sample_85","Sample_86","Sample_87","Sample_88","Sample_89","Sample_90","Sample_91","Sample_92","Sample_93","Sample_94","Sample_95","Sample_96","Sample_97","Sample_98","Sample_99","Sample_100"
"Actinomyces_sp_HMSC035G02",0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeriscardovia_aeriphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0,0,0,0,0,0,0,806,11975,2686,0,12218,0,0,0,0,33898,0,12921,1284,0,0,8387,0,0,0,22541,25786,0,24804,0,2153,0,0,7013,1487,0,52676,0,0,46384,39483,13290,0,54598,0,0,0,8970,0,0,0,0,0,0,0,17107,26114,16046,0,7442,3212,0,1884,0,78627,0,0,0,0,0,0,11715,0,0,0,0,0,0,0,508,0,0,6488,0,2987,1154,0,19757,0,0,0,0,5503,0,1745,0,34281,1724,0
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,29,0,0,329,337,1624,0,0,0,0,0,0,0,0,0,0,0,0,1929,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15263,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,892,0,1250
"Bifidobacterium_bifidum",0,0,0,0,0,0,19195,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,1778,15599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,316,3150,0,0,0,0,14411,0,0,0,0,0,0,0,7911,0,0,0,0,0,0,0,7389,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_breve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,0,0,0,0,0,0
